temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
3.6,0.4,0.71,2025-01-14,3
3.6,0.6,0.71,2025-01-15,3
5.3,0.0,1.11,2025-01-16,3
4.5,0.0,1.1,2025-01-17,3
5.2,0.0,1.17,2025-01-18,3
6.2,0.0,1.24,2025-01-19,3
7.0,0.0,1.04,2025-01-20,4
8.0,0.1,1.24,2025-01-21,4
7.9,0.0,1.25,2025-01-22,4
7.9,0.0,1.29,2025-01-23,4
7.3,0.0,0.97,2025-01-24,4
7.9,0.0,1.28,2025-01-25,4
7.1,0.0,1.15,2025-01-26,4
8.4,0.0,1.08,2025-01-27,4
7.9,0.0,1.02,2025-01-28,4
9.3,0.0,1.29,2025-01-29,4
11.3,0.4,1.08,2025-01-30,5
10.0,0.3,1.39,2025-01-31,4
9.3,0.0,1.41,2025-02-01,4
8.2,0.0,0.67,2025-02-02,5
8.3,0.0,1.28,2025-02-03,4
6.9,6.4,0.94,2025-02-04,4
4.1,0.0,1.39,2025-02-05,2
3.8,0.1,1.24,2025-02-06,2
3.3,0.0,1.47,2025-02-07,2
2.1,0.0,1.42,2025-02-08,1
2.0,0.0,1.41,2025-02-09,1
1.8,0.0,1.43,2025-02-10,1
2.0,0.0,1.53,2025-02-11,1
2.3,0.0,1.57,2025-02-12,1
3.9,0.0,1.28,2025-02-13,2
6.3,0.0,1.44,2025-02-14,3
7.8,0.0,1.63,2025-02-15,3
7.9,3.2,0.47,2025-02-16,5
6.8,5.5,0.44,2025-02-17,4
5.5,2.6,0.73,2025-02-18,4
4.2,0.1,1.69,2025-02-19,2
1.8,0.0,1.68,2025-02-20,1
1.6,0.0,1.41,2025-02-21,1
0.6,0.0,1.63,2025-02-22,1
2.4,0.0,1.48,2025-02-23,1
3.4,0.0,0.96,2025-02-24,2
5.6,0.0,1.55,2025-02-25,2
6.6,0.0,1.5,2025-02-26,3
8.5,0.0,1.65,2025-02-27,3
10.0,0.0,2.01,2025-02-28,3
10.6,0.0,1.65,2025-03-01,4
8.9,5.8,0.88,2025-03-02,5
8.6,13.0,1.8,2025-03-03,3
6.2,0.0,2.15,2025-03-04,2
7.7,0.0,2.3,2025-03-05,2
8.9,0.0,2.45,2025-03-06,3
9.7,0.0,2.62,2025-03-07,3
10.4,0.0,2.72,2025-03-08,3
10.0,0.0,2.9,2025-03-09,2
10.3,0.0,2.91,2025-03-10,2
10.4,0.0,2.39,2025-03-11,3
14.0,2.7,1.52,2025-03-12,5
15.8,3.4,1.97,2025-03-13,6
14.8,0.0,3.01,2025-03-14,4
15.4,0.0,3.11,2025-03-15,4
15.5,0.0,2.57,2025-03-16,5
13.3,0.5,3.36,2025-03-17,3
6.5,7.7,0.99,2025-03-18,4
5.0,0.0,2.47,2025-03-19,1
5.8,0.0,2.81,2025-03-20,1
7.3,0.0,2.85,2025-03-21,1
8.4,0.0,2.81,2025-03-22,2
9.4,9.2,1.57,2025-03-23,4
11.9,2.9,1.9,2025-03-24,4
13.6,1.3,1.84,2025-03-25,5
14.0,0.9,2.33,2025-03-26,4
15.5,0.1,2.81,2025-03-27,4
13.8,23.9,1.49,2025-03-28,6
12.0,6.0,1.98,2025-03-29,4
12.7,3.7,1.94,2025-03-30,5
11.5,7.2,1.65,2025-03-31,5
11.8,5.6,0.96,2025-04-01,5
12.1,1.6,1.51,2025-04-02,5
12.5,5.2,1.94,2025-04-03,4
12.2,1.6,2.17,2025-04-04,4
12.2,1.7,2.85,2025-04-05,3
11.6,1.8,2.41,2025-04-06,4
5.8,15.6,1.82,2025-04-07,2
6.4,0.0,2.23,2025-04-08,2
7.6,0.3,3.06,2025-04-09,1
8.9,0.0,3.47,2025-04-10,1
